JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460752.500000000, A.D. 2025-Mar-18 00:00:00.0000, -1.487159240222053E+08,  7.037747357654413E+06,  7.636588654327206E+02, -1.898785210620094E+00, -2.985753169740593E+01,  2.555152637201630E-03,
2460753.500000000, A.D. 2025-Mar-19 00:00:00.0000, -1.488577373287105E+08,  4.457055793198147E+06,  9.771752862737048E+02, -1.383861004341775E+00, -2.987926713898225E+01,  2.381534910831817E-03,
2460754.500000000, A.D. 2025-Mar-20 00:00:00.0000, -1.489550444966182E+08,  1.874858229241041E+06,  1.174275439606863E+03, -8.685652502305489E-01, -2.989238316606403E+01,  2.176254326206717E-03,
2460755.500000000, A.D. 2025-Mar-21 00:00:00.0000, -1.490078173345967E+08, -7.080980261322664E+05,  1.352522835510463E+03, -3.529895006084959E-01, -2.989681866232770E+01,  1.946380559955330E-03,
2460756.500000000, A.D. 2025-Mar-22 00:00:00.0000, -1.490160358194666E+08, -3.291060055112327E+06,  1.510132097920636E+03,  1.627687767928120E-01, -2.989250445956782E+01,  1.699955053972246E-03,
2460757.500000000, A.D. 2025-Mar-23 00:00:00.0000, -1.489796886228938E+08, -5.873268499799923E+06,  1.646065041051246E+03,  6.786054394005285E-01, -2.987935997594709E+01,  1.446292027720730E-03,
2460758.500000000, A.D. 2025-Mar-24 00:00:00.0000, -1.488987738264221E+08, -8.453956392714918E+06,  1.760156636066735E+03,  1.194405846582938E+00, -2.985728892739084E+01,  1.196349823743503E-03,
2460759.500000000, A.D. 2025-Mar-25 00:00:00.0000, -1.487733001439120E+08, -1.103234763473913E+07,  1.853270524018910E+03,  1.710036775716446E+00, -2.982617583752907E+01,  9.630073869129063E-04,
2460760.500000000, A.D. 2025-Mar-26 00:00:00.0000, -1.486032890460833E+08, -1.360765530681368E+07,  1.927464917101897E+03,  2.225333681324689E+00, -2.978588626749809E+01,  7.609742655976248E-04,
2460761.500000000, A.D. 2025-Mar-27 00:00:00.0000, -1.483887781396463E+08, -1.617908030052309E+07,  1.986122360263020E+03,  2.740084906626936E+00, -2.973627463868259E+01,  6.059846764348009E-04,
2460762.500000000, A.D. 2025-Mar-28 00:00:00.0000, -1.481298258787723E+08, -1.874581108005049E+07,  2.033967982707545E+03,  3.254017760833420E+00, -2.967720295924389E+01,  5.129946017152776E-04,
2460763.500000000, A.D. 2025-Mar-29 00:00:00.0000, -1.478265171127236E+08, -2.130702554211797E+07,  2.076889515563846E+03,  3.766794591044508E+00, -2.960857010488655E+01,  4.934549313695413E-04,
2460764.500000000, A.D. 2025-Mar-30 00:00:00.0000, -1.474789682404975E+08, -2.386189563268464E+07,  2.121504449605942E+03,  4.278026795274461E+00, -2.953034454737923E+01,  5.523566676295388E-04,
2460765.500000000, A.D. 2025-Mar-31 00:00:00.0000, -1.470873302915495E+08, -2.640959447745525E+07,  2.174505238775164E+03,  4.787308181167748E+00, -2.944258741840143E+01,  6.862661458164609E-04,
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, -1.466517885910457E+08, -2.894930462633439E+07,  2.241918603369966E+03,  5.294258255280686E+00, -2.934545383360373E+01,  8.834184308312842E-04,
2460767.500000000, A.D. 2025-Apr-02 00:00:00.0000, -1.461725588433376E+08, -3.148022535168522E+07,  2.328470099152997E+03,  5.798559064393579E+00, -2.923917044104635E+01,  1.125975158471348E-03,
2460768.500000000, A.D. 2025-Apr-03 00:00:00.0000, -1.456498808093341E+08, -3.400157731234787E+07,  2.437204053185880E+03,  6.299972736074048E+00, -2.912399929752184E+01,  1.393449481430054E-03,
2460769.500000000, A.D. 2025-Apr-04 00:00:00.0000, -1.450840114075348E+08, -3.651260404708192E+07,  2.569399319801480E+03,  6.798337955869494E+00, -2.900020290718915E+01,  1.665918959789181E-03,
2460770.500000000, A.D. 2025-Apr-05 00:00:00.0000, -1.444752187714319E+08, -3.901257089287290E+07,  2.724718228580430E+03,  7.293553049667999E+00, -2.886802057307544E+01,  1.926126686027985E-03,
