JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460759.500000000, A.D. 2025-Mar-25 00:00:00.0000, -2.065514653278735E+08,  1.385583755632456E+08,  7.968848802205652E+06, -1.258788482309126E+01, -1.805294182890040E+01, -6.963569393996849E-02,
2460760.500000000, A.D. 2025-Mar-26 00:00:00.0000, -2.076324078234489E+08,  1.369941649056270E+08,  7.962576200534299E+06, -1.243380851549300E+01, -1.815543732331595E+01, -7.556223596463152E-02,
2460761.500000000, A.D. 2025-Mar-27 00:00:00.0000, -2.087000061739273E+08,  1.354211507447188E+08,  7.955791853382923E+06, -1.227899390580553E+01, -1.825672601530582E+01, -8.148159218123308E-02,
2460762.500000000, A.D. 2025-Mar-28 00:00:00.0000, -2.097541969269389E+08,  1.338394375140783E+08,  7.948496393878862E+06, -1.212344876414281E+01, -1.835680410332919E+01, -8.739349473328950E-02,
2460763.500000000, A.D. 2025-Mar-29 00:00:00.0000, -2.107949173015290E+08,  1.322491299733521E+08,  7.940690478398524E+06, -1.196718086357561E+01, -1.845566780009712E+01, -9.329767125491539E-02,
2460764.500000000, A.D. 2025-Mar-30 00:00:00.0000, -2.118221051878636E+08,  1.306503332064773E+08,  7.932374786596291E+06, -1.181019797720658E+01, -1.855331334961295E+01, -9.919384752151128E-02,
2460765.500000000, A.D. 2025-Mar-31 00:00:00.0000, -2.128356991468827E+08,  1.290431526200391E+08,  7.923550021400698E+06, -1.165250787858956E+01, -1.864973703662505E+01, -1.050817484397522E-01,
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, -2.138356384098143E+08,  1.274276939416150E+08,  7.914216908924721E+06, -1.149411833489447E+01, -1.874493517959530E+01, -1.109611016077467E-01,
2460767.500000000, A.D. 2025-Apr-02 00:00:00.0000, -2.148218628776917E+08,  1.258040632180129E+08,  7.904376198345833E+06, -1.133503709437117E+01, -1.883890411032803E+01, -1.168316426139775E-01,
2460768.500000000, A.D. 2025-Apr-03 00:00:00.0000, -2.157943131210610E+08,  1.241723668135599E+08,  7.894028661850989E+06, -1.117527188651644E+01, -1.893164016011393E+01, -1.226931142432353E-01,
2460769.500000000, A.D. 2025-Apr-04 00:00:00.0000, -2.167529303798551E+08,  1.225327114086091E+08,  7.883175094652914E+06, -1.101483043861432E+01, -1.902313966595648E+01, -1.285452588642277E-01,
2460770.500000000, A.D. 2025-Apr-05 00:00:00.0000, -2.176976565632524E+08,  1.208852039981823E+08,  7.871816314991236E+06, -1.085372049153426E+01, -1.911339898230691E+01, -1.343878116592538E-01,
